Player,Prop Bets,Pos,Team,Opp,H/A,Line,Result,Over,oW/L,Under,uW/L,Week
Eric Ebron,Receiving Yards,TE,IND,MIA,Home,30.5,56,-145,Win,110,Loss,19NFL10
Gerald Everett,Receiving Yards,TE,LAR,PIT,Away,33.5,68,-115,Win,-115,Loss,19NFL10
Greg Olsen,Receiving Yards,TE,CAR,GB,Away,38.5,98,-105,Win,-125,Loss,19NFL10
Hunter Henry,Receiving Yards,TE,LAC,LVR,Away,65.5,30,-135,Loss,105,Win,19NFL10
Irv Smith Jr.,Receiving Yards,TE,MIN,DAL,Away,26.5,34,-105,Win,-125,Loss,19NFL10
Jack Doyle,Receiving Yards,TE,IND,MIA,Home,29.5,44,-115,Win,-115,Loss,19NFL10
Jason Witten,Receiving Yards,TE,DAL,MIN,Home,35.5,17,-110,Loss,-120,Win,19NFL10
Jimmy Graham,Receiving Yards,TE,GB,CAR,Home,28.5,59,-105,Win,-125,Loss,19NFL10
Jonnu Smith,Receiving Yards,TE,TEN,KC,Home,36.5,30,-115,Loss,-115,Win,19NFL10
Kyle Rudolph,Receiving Yards,TE,MIN,DAL,Away,25.5,14,-130,Loss,100,Win,19NFL10
Mark Andrews,Receiving Yards,TE,BAL,CIN,Away,45.5,53,-115,Win,-115,Loss,19NFL10
Mike Gesicki,Receiving Yards,TE,MIA,IND,Away,34.5,28,-150,Loss,115,Win,19NFL10
Nick Boyle,Receiving Yards,TE,BAL,CIN,Away,14.5,78,-115,Win,-115,Loss,19NFL10
O.J. Howard,Receiving Yards,TE,TB,ARI,Home,30.5,47,-115,Win,-115,Loss,19NFL10
Rhett Ellison,Receiving Yards,TE,NYG,NYJ,Away,24.5,42,-105,Win,-125,Loss,19NFL10
Ross Dwelley,Receiving Yards,TE,SF,SEA,Home,25.5,24,-115,Loss,-115,Win,19NFL10
T.J. Hockenson,Receiving Yards,TE,DET,CHI,Away,28.5,47,105,Win,-135,Loss,19NFL10
Travis Kelce,Receiving Yards,TE,KC,TEN,Away,69.5,75,-125,Win,-105,Loss,19NFL10
Trey Burton,Receiving Yards,TE,CHI,DET,Home,14.5,0,-105,Loss,-125,Win,19NFL10
Tyler Eifert,Receiving Yards,TE,CIN,BAL,Home,19.5,20,-115,Win,-115,Loss,19NFL10
Tyler Higbee,Receiving Yards,TE,LAR,PIT,Away,19.5,22,-110,Win,-120,Loss,19NFL10
Tyler Kroft,Receiving Yards,TE,BUF,CLE,Away,10.5,0,-115,Loss,-115,Win,19NFL10
Vance McDonald,Receiving Yards,TE,PIT,LAR,Home,29.5,11,-115,Loss,-115,Win,19NFL10
Charles Clay,Receiving Yards,TE,ARI,SF,Home,10.5,6,-155,Loss,115,Win,19NFL09
Darren Fells,Receiving Yards,TE,HOU,JAC,Away,29.5,1,-115,Loss,-115,Win,19NFL09
Darren Waller,Receiving Yards,TE,LVR,DET,Home,58.5,52,-110,Loss,-120,Win,19NFL09
Dawson Knox,Receiving Yards,TE,BUF,WAS,Home,15.5,14,100,Loss,-130,Win,19NFL09
Eric Ebron,Receiving Yards,TE,IND,PIT,Away,29.5,16,-115,Loss,-115,Win,19NFL09
Evan Engram,Receiving Yards,TE,NYG,DAL,Home,55.5,48,-110,Loss,-120,Win,19NFL09
Foster Moreau,Receiving Yards,TE,LVR,DET,Home,18.5,3,-110,Loss,-120,Win,19NFL09
George Kittle,Receiving Yards,TE,SF,ARI,Away,71.5,79,-180,Win,135,Loss,19NFL09
Greg Olsen,Receiving Yards,TE,CAR,TEN,Home,35.5,40,-105,Win,-125,Loss,19NFL09
Hunter Henry,Receiving Yards,TE,LAC,GB,Home,60.5,84,-120,Win,-110,Loss,19NFL09
Jack Doyle,Receiving Yards,TE,IND,PIT,Away,29.5,22,-115,Loss,-115,Win,19NFL09
Jason Witten,Receiving Yards,TE,DAL,NYG,Away,35.5,58,105,Win,-135,Loss,19NFL09
Jeremy Sprinkle,Receiving Yards,TE,WAS,BUF,Away,16.5,16,-105,Loss,-125,Win,19NFL09
Jimmy Graham,Receiving Yards,TE,GB,LAC,Away,32.5,17,-110,Loss,-120,Win,19NFL09
Jonnu Smith,Receiving Yards,TE,TEN,CAR,Away,32.5,18,-135,Loss,105,Win,19NFL09
Kyle Rudolph,Receiving Yards,TE,MIN,KC,Away,19.5,23,-115,Win,-115,Loss,19NFL09
Mark Andrews,Receiving Yards,TE,BAL,NE,Home,43.5,21,-120,Loss,-110,Win,19NFL09
Maxx WIlliams,Receiving Yards,TE,ARI,SF,Home,8.5,12,-135,Win,105,Loss,19NFL09
Mike Gesicki,Receiving Yards,TE,MIA,NYJ,Home,27.5,95,-105,Win,-125,Loss,19NFL09
Noah Fant,Receiving Yards,TE,DEN,CLE,Home,26.5,115,-130,Win,100,Loss,19NFL09
Ricky Seals Jones,Receiving Yards,TE,CLE,DEN,Away,19.5,12,-115,Loss,-115,Win,19NFL09
T.J. Hockenson,Receiving Yards,TE,DET,LVR,Away,29.5,56,-115,Win,-115,Loss,19NFL09
Travis Kelce,Receiving Yards,TE,KC,MIN,Home,65.5,62,-115,Loss,-115,Win,19NFL09
Trey Burton,Receiving Yards,TE,CHI,PHI,Away,24.5,0,-105,Loss,-125,Win,19NFL09
Tyler Kroft,Receiving Yards,TE,BUF,WAS,Home,15.5,0,100,Loss,-130,Win,19NFL09
Vance McDonald,Receiving Yards,TE,PIT,IND,Home,24.5,30,-115,Win,-115,Loss,19NFL09
Zach Ertz,Receiving Yards,TE,PHI,CHI,Home,55.5,103,-105,Win,-125,Loss,19NFL09
Austin Hooper,Receiving Yards,TE,ATL,SEA,Home,58.5,65,-115,Win,-115,Loss,19NFL08
Ben Watson,Receiving Yards,TE,NE,CLE,Home,27.5,26,-110,Loss,-120,Win,19NFL08
C.J. Uzomah,Receiving Yards,TE,CIN,LAR,Away,11.5,4,-115,Loss,-115,Win,19NFL08
Cameron Brate,Receiving Yards,TE,TB,TEN,Away,29.5,32,100,Win,-130,Loss,19NFL08
Dallas Goedert,Receiving Yards,TE,PHI,BUF,Away,28.5,22,120,Loss,-160,Win,19NFL08
Darren Fells,Receiving Yards,TE,HOU,LVR,Home,24.5,58,-115,Win,-115,Loss,19NFL08
Darren Waller,Receiving Yards,TE,LVR,HOU,Away,57.5,11,-145,Loss,110,Win,19NFL08
Dawson Knox,Receiving Yards,TE,BUF,PHI,Home,25.5,0,-110,Loss,-120,Win,19NFL08
Eric Ebron,Receiving Yards,TE,IND,DEN,Home,30.5,26,-115,Loss,-115,Win,19NFL08
Evan Engram,Receiving Yards,TE,NYG,DET,Away,60.5,40,-115,Loss,-115,Win,19NFL08
Foster Moreau,Receiving Yards,TE,LVR,HOU,Away,18.5,10,-115,Loss,-115,Win,19NFL08
George Kittle,Receiving Yards,TE,SF,CAR,Home,58.5,86,-115,Win,-115,Loss,19NFL08
Gerald Everett,Receiving Yards,TE,LAR,CIN,Home,39.5,15,-115,Loss,-115,Win,19NFL08
Greg Olsen,Receiving Yards,TE,CAR,SF,Away,39.5,13,100,Loss,-130,Win,19NFL08
Hunter Henry,Receiving Yards,TE,LAC,CHI,Away,58.5,47,-115,Loss,-115,Win,19NFL08
Irv Smith Jr.,Receiving Yards,TE,MIN,WAS,Home,25.5,21,-145,Loss,110,Win,19NFL08
Jeremy Sprinkle,Receiving Yards,TE,WAS,MIN,Away,22.5,12,115,Loss,-150,Win,19NFL08
Jesse James,Receiving Yards,TE,DET,NYG,Home,12.5,0,-115,Loss,-115,Win,19NFL08
Jimmy Graham,Receiving Yards,TE,GB,KC,Away,37.5,20,105,Loss,-135,Win,19NFL08
Jonnu Smith,Receiving Yards,TE,TEN,TB,Home,26.5,78,-160,Win,120,Loss,19NFL08
Josh Hill,Receiving Yards,TE,NO,ARI,Home,30.5,39,-115,Win,-115,Loss,19NFL08
Kyle Rudolph,Receiving Yards,TE,MIN,WAS,Home,27.5,17,-130,Loss,100,Win,19NFL08
Luke Wilson,Receiving Yards,TE,SEA,ATL,Away,14.5,7,-120,Loss,-110,Win,19NFL08
Mike Gesicki,Receiving Yards,TE,MIA,PIT,Away,29.5,10,-120,Loss,-110,Win,19NFL08
Noah Fant,Receiving Yards,TE,DEN,IND,Away,29.5,26,-115,Loss,-115,Win,19NFL08
Ricky Seals Jones,Receiving Yards,TE,CLE,NE,Away,26.5,0,-110,Loss,-120,Win,19NFL08
Ryan Griffin,Receiving Yards,TE,NYJ,JAC,Away,13.5,66,-105,Win,-125,Loss,19NFL08
T.J. Hockenson,Receiving Yards,TE,DET,NYG,Home,34.5,21,-115,Loss,-115,Win,19NFL08
Travis Kelce,Receiving Yards,TE,KC,GB,Home,66.5,63,-120,Loss,-110,Win,19NFL08
Trey Burton,Receiving Yards,TE,CHI,LAC,Home,25.5,16,-115,Loss,-115,Win,19NFL08
Tyler Eifert,Receiving Yards,TE,CIN,LAR,Away,19.5,74,-110,Win,-120,Loss,19NFL08
Tyler Higbee,Receiving Yards,TE,LAR,CIN,Home,16.5,8,-115,Loss,-115,Win,19NFL08
Vance McDonald,Receiving Yards,TE,PIT,MIA,Home,30.5,19,-110,Loss,-120,Win,19NFL08
Zach Ertz,Receiving Yards,TE,PHI,BUF,Away,56.5,20,130,Loss,-170,Win,19NFL08
Austin Hooper,Receiving Yards,TE,ATL,LAR,Home,60.5,46,-115,Loss,-115,Win,19NFL07
Blake Jarwin,Receiving Yards,TE,DAL,PHI,Home,18.5,1,-115,Loss,-115,Win,19NFL07
C.J. Uzomah,Receiving Yards,TE,CIN,JAC,Home,15.5,0,-115,Loss,-115,Win,19NFL07
Dallas Goedert,Receiving Yards,TE,PHI,DAL,Away,22.5,69,-120,Win,-110,Loss,19NFL07
Darren Fells,Receiving Yards,TE,HOU,IND,Away,25.5,27,-110,Win,-120,Loss,19NFL07
Darren Waller,Receiving Yards,TE,LVR,GB,Away,53.5,126,-135,Win,105,Loss,19NFL07
Dawson Knox,Receiving Yards,TE,BUF,MIA,Home,28.5,22,110,Loss,-145,Win,19NFL07
Delanie Walker,Receiving Yards,TE,TEN,LAC,Home,35.5,0,-110,Loss,-120,Win,19NFL07
Eric Ebron,Receiving Yards,TE,IND,HOU,Home,27.5,70,-105,Win,-125,Loss,19NFL07
Evan Engram,Receiving Yards,TE,NYG,ARI,Home,68.5,6,-130,Loss,100,Win,19NFL07
Foster Moreau,Receiving Yards,TE,LVR,GB,Away,17.5,24,-125,Win,-105,Loss,19NFL07
George Kittle,Receiving Yards,TE,SF,WAS,Away,69.5,38,-115,Loss,-115,Win,19NFL07
Gerald Everett,Receiving Yards,TE,LAR,ATL,Away,37.5,50,-115,Win,-115,Loss,19NFL07
Hayden Hurst,Receiving Yards,TE,BAL,SEA,Away,18.5,10,-115,Loss,-115,Win,19NFL07
Hunter Henry,Receiving Yards,TE,LAC,TEN,Away,49.5,97,-110,Win,-120,Loss,19NFL07
Irv Smith Jr.,Receiving Yards,TE,MIN,DET,Away,14.5,60,-120,Win,-110,Loss,19NFL07
Jack Doyle,Receiving Yards,TE,IND,HOU,Home,25.5,21,-110,Loss,-120,Win,19NFL07
Jason Witten,Receiving Yards,TE,DAL,PHI,Home,34.5,33,-115,Loss,-115,Win,19NFL07
Jeff Heauerman,Receiving Yards,TE,DEN,KC,Home,13.5,0,-105,Loss,-125,Win,19NFL07
Jeremy Sprinkle,Receiving Yards,TE,WAS,SF,Home,21.5,13,-105,Loss,-125,Win,19NFL07
Kyle Rudolph,Receiving Yards,TE,MIN,DET,Away,18.5,58,-115,Win,-115,Loss,19NFL07
Mark Andrews,Receiving Yards,TE,BAL,SEA,Away,57.5,39,-115,Loss,-115,Win,19NFL07
Mike Gesicki,Receiving Yards,TE,MIA,BUF,Away,17.5,41,-110,Win,-120,Loss,19NFL07
Nick Boyle,Receiving Yards,TE,BAL,SEA,Away,13.5,20,-115,Win,-115,Loss,19NFL07
Noah Fant,Receiving Yards,TE,DEN,KC,Home,25.5,7,-130,Loss,100,Win,19NFL07
T.J. Hockenson,Receiving Yards,TE,DET,MIN,Home,31.5,32,-120,Win,-110,Loss,19NFL07
Travis Kelce,Receiving Yards,TE,KC,DEN,Away,77.5,44,-130,Loss,100,Win,19NFL07
Trey Burton,Receiving Yards,TE,CHI,NO,Home,25.5,11,-110,Loss,-120,Win,19NFL07
Tyler Eifert,Receiving Yards,TE,CIN,JAC,Home,20.5,10,-105,Loss,-125,Win,19NFL07
Tyler Higbee,Receiving Yards,TE,LAR,ATL,Away,20.5,8,-115,Loss,-115,Win,19NFL07
Zach Ertz,Receiving Yards,TE,PHI,DAL,Away,65.5,38,-115,Loss,-115,Win,19NFL07
Austin Hooper,Receiving Yards,TE,ATL,ARI,Away,56.5,117,-125,Win,-105,Loss,19NFL06
Dallas Goedert,Receiving Yards,TE,PHI,MIN,Away,18.5,48,-110,Win,-120,Loss,19NFL06
Delanie Walker,Receiving Yards,TE,TEN,DEN,Away,32.5,43,-120,Win,-110,Loss,19NFL06
Gerald Everett,Receiving Yards,TE,LAR,SF,Home,37.5,9,-115,Loss,-115,Win,19NFL06
Greg Olsen,Receiving Yards,TE,CAR,TB,Away,45.5,52,-115,Win,-115,Loss,19NFL06
Hunter Henry,Receiving Yards,TE,LAC,PIT,Home,37.5,100,-115,Win,-115,Loss,19NFL06
Irv Smith Jr.,Receiving Yards,TE,MIN,PHI,Home,13.5,29,-150,Win,115,Loss,19NFL06
Jared Cook,Receiving Yards,TE,NO,JAC,Away,32.5,37,-110,Win,-120,Loss,19NFL06
Jason Witten,Receiving Yards,TE,DAL,NJY,Away,31.5,57,-115,Win,-115,Loss,19NFL06
Jeremy Sprinkle,Receiving Yards,TE,WAS,MIA,Away,20.5,24,-105,Win,-125,Loss,19NFL06
Jimmy Graham,Receiving Yards,TE,GB,DET,Home,40.5,17,-110,Loss,-120,Win,19NFL06
Josh Hill,Receiving Yards,TE,NO,JAC,Away,15.5,8,-105,Loss,-125,Win,19NFL06
Kyle Rudolph,Receiving Yards,TE,MIN,PHI,Home,14.5,36,-110,Win,-120,Loss,19NFL06
Mark Andrews,Receiving Yards,TE,BAL,CIN,Home,50.5,99,-120,Win,-110,Loss,19NFL06
Matt LaCosse,Receiving Yards,TE,NE,NYG,Home,18.5,0,120,Loss,-160,Win,19NFL06
Mike Gesicki,Receiving Yards,TE,MIA,WAS,Home,16.5,51,105,Win,-135,Loss,19NFL06
O.J. Howard,Receiving Yards,TE,TB,CAR,Home,37.5,35,-115,Loss,-115,Win,19NFL06
Ricky Seals Jones,Receiving Yards,TE,CLE,SEA,Home,15.5,47,-115,Win,-115,Loss,19NFL06
T.J. Hockenson,Receiving Yards,TE,DET,GB,Away,30.5,21,-115,Loss,-115,Win,19NFL06
Travis Kelce,Receiving Yards,TE,KC,HOU,Home,85.5,58,-115,Loss,-115,Win,19NFL06
Tyler Eifert,Receiving Yards,TE,CIN,BAL,Away,25.5,13,-110,Loss,-120,Win,19NFL06
Vance McDonald,Receiving Yards,TE,PIT,LAC,Away,32.5,5,105,Loss,-135,Win,19NFL06
Will Dissly,Receiving Yards,TE,SEA,CLE,Away,51.5,0,-115,Loss,-115,Win,19NFL06
Zach Ertz,Receiving Yards,TE,PHI,MIN,Away,65.5,54,-120,Loss,-110,Win,19NFL06
Austin Hooper,Receiving Yards,TE,ATL,HOU,Away,45.5,56,-125,Win,-105,Loss,19NFL05
Dallas Goedert,Receiving Yards,TE,PHI,NYJ,Home,18.5,11,-115,Loss,-115,Win,19NFL05
Darren Waller,Receiving Yards,TE,LVR,CHI,Home,55.5,39,-115,Loss,-115,Win,19NFL05
Delanie Walker,Receiving Yards,TE,TEN,BUF,Home,36.5,10,-115,Loss,-115,Win,19NFL05
Eric Ebron,Receiving Yards,TE,IND,KC,Away,34.5,8,-115,Loss,-115,Win,19NFL05
Evan Engram,Receiving Yards,TE,NYG,MIN,Home,64.5,42,-110,Loss,-120,Win,19NFL05
Geoff Swaim,Receiving Yards,TE,JAC,CAR,Away,16.5,4,-105,Loss,-125,Win,19NFL05
George Kittle,Receiving Yards,TE,SF,CLE,Home,70.5,70,-125,Loss,-105,Win,19NFL05
Gerald Everett,Receiving Yards,TE,LAR,SEA,Away,21.5,136,-105,Win,-125,Loss,19NFL05
Greg Olsen,Receiving Yards,TE,CAR,JAC,Home,46.5,0,105,Loss,-135,Win,19NFL05
Irv Smith Jr.,Receiving Yards,TE,MIN,NYG,Away,17.5,0,-115,Loss,-115,Win,19NFL05
Jack Doyle,Receiving Yards,TE,IND,KC,Away,32.5,19,-115,Loss,-115,Win,19NFL05
James O'Shaughnessy,Receiving Yards,TE,JAC,CAR,Away,21.5,57,-115,Win,-115,Loss,19NFL05
Jared Cook,Receiving Yards,TE,NO,TB,Home,32.5,41,-110,Win,-120,Loss,19NFL05
Jimmy Graham,Receiving Yards,TE,GB,DAL,Away,39.5,41,-115,Win,-115,Loss,19NFL05
Kyle Rudolph,Receiving Yards,TE,MIN,NYG,Away,19.5,4,110,Loss,-145,Win,19NFL05
Mark Andrews,Receiving Yards,TE,BAL,PIT,Away,50.5,45,-115,Loss,-115,Win,19NFL05
O.J. Howard,Receiving Yards,TE,TB,NO,Away,42.5,10,-105,Loss,-125,Win,19NFL05
Ricky Seals Jones,Receiving Yards,TE,CLE,SF,Away,19.5,0,-125,Loss,-105,Win,19NFL05
Ryan Griffin,Receiving Yards,TE,NYJ,PHI,Away,14.5,2,115,Loss,-150,Win,19NFL05
Travis Kelce,Receiving Yards,TE,KC,IND,Home,85.5,70,-120,Loss,-110,Win,19NFL05
Trey Burton,Receiving Yards,TE,CHI,LVR,Away,29.5,16,-115,Loss,-115,Win,19NFL05
Tyler Eifert,Receiving Yards,TE,CIN,ARI,Home,33.5,14,-120,Loss,-110,Win,19NFL05
Tyler Higbee,Receiving Yards,TE,LAR,SEA,Away,19.5,47,-105,Win,-125,Loss,19NFL05
Vance McDonald,Receiving Yards,TE,PIT,BAL,Home,28.5,34,-115,Win,-115,Loss,19NFL05
Will Dissly,Receiving Yards,TE,SEA,LAR,Home,49.5,81,115,Win,-150,Loss,19NFL05
Zach Ertz,Receiving Yards,TE,PHI,NYJ,Home,65.5,57,-125,Loss,-105,Win,19NFL05
Austin Hooper,Receiving Yards,TE,ATL,TEN,Home,41.5,130,-115,Win,-115,Loss,19NFL04
Blake Jarwin,Receiving Yards,TE,DAL,NO,Away,19.5,49,-115,Win,-115,Loss,19NFL04
Dallas Goedert,Receiving Yards,TE,PHI,GB,Away,19.5,16,-110,Loss,-120,Win,19NFL04
Darren Waller,Receiving Yards,TE,LVR,IND,Home,65.5,53,-115,Loss,-115,Win,19NFL04
Delanie Walker,Receiving Yards,TE,TEN,ATL,Away,43.5,4,-115,Loss,-115,Win,19NFL04
Eric Ebron,Receiving Yards,TE,IND,LVR,Home,38.5,48,130,Win,-160,Loss,19NFL04
Evan Engram,Receiving Yards,TE,NYG,WAS,Home,72.5,54,-120,Loss,-110,Win,19NFL04
Greg Olsen,Receiving Yards,TE,CAR,HOU,Away,50.5,5,-115,Loss,-115,Win,19NFL04
Jack Doyle,Receiving Yards,TE,IND,LVR,Home,34.5,22,105,Loss,-135,Win,19NFL04
Jared Cook,Receiving Yards,TE,NO,DAL,Home,32.5,21,-105,Loss,-125,Win,19NFL04
Jason Witten,Receiving Yards,TE,DAL,NO,Away,27.5,50,-110,Win,-120,Loss,19NFL04
Jimmy Graham,Receiving Yards,TE,GB,PHI,Home,20.5,61,-135,Win,105,Loss,19NFL04
Marcedes Lewis,Receiving Yards,TE,GB,PHI,Home,12.5,19,-115,Win,-115,Loss,19NFL04
Mark Andrews,Receiving Yards,TE,BAL,CLE,Home,58.5,31,-115,Loss,-115,Win,19NFL04
Mike Gesicki,Receiving Yards,TE,MIA,LAC,Home,19.5,0,-115,Loss,-115,Win,19NFL04
O.J. Howard,Receiving Yards,TE,TB,LAR,Home,45.5,33,-110,Loss,-120,Win,19NFL04
T.J. Hockenson,Receiving Yards,TE,DET,KC,Home,39.5,27,-115,Loss,-115,Win,19NFL04
Travis Kelce,Receiving Yards,TE,KC,DET,Away,80.5,85,-115,Win,-115,Loss,19NFL04
Tyler Eifert,Receiving Yards,TE,CIN,PIT,Away,20.5,27,-125,Win,-105,Loss,19NFL04
Will Dissly,Receiving Yards,TE,SEA,ARI,Away,43.5,57,-135,Win,105,Loss,19NFL04
Zach Ertz,Receiving Yards,TE,PHI,GB,Away,66.5,65,-105,Loss,-125,Win,19NFL04
Austin Hooper,Receiving Yards,TE,ATL,IND,Away,40.5,66,-115,Win,-115,Loss,19NFL03
Blake Jarwin,Receiving Yards,TE,DAL,MIA,Home,20.5,3,-120,Loss,-110,Win,19NFL03
Darren Waller,Receiving Yards,TE,LVR,MIN,Away,49.5,134,-125,Win,-105,Loss,19NFL03
Delanie Walker,Receiving Yards,TE,TEN,JAC,Away,43.5,64,-115,Win,-115,Loss,19NFL03
Eric Ebron,Receiving Yards,TE,IND,ARI,Home,25.5,47,-115,Win,-115,Loss,19NFL03
Evan Engram,Receiving Yards,TE,NYG,TB,Away,65.5,113,-115,Win,-115,Loss,19NFL03
Geoff Swaim,Receiving Yards,TE,JAC,TEN,Home,16.5,8,-105,Loss,-125,Win,19NFL03
George Kittle,Receiving Yards,TE,SF,PIT,Home,76.5,57,-110,Loss,-120,Win,19NFL03
Gerald Everett,Receiving Yards,TE,LAR,CLE,Away,33.5,15,-115,Loss,-115,Win,19NFL03
Greg Olsen,Receiving Yards,TE,CAR,ARI,Home,45.5,75,-115,Win,-115,Loss,19NFL03
Jack Doyle,Receiving Yards,TE,IND,ARI,Home,24.5,46,-115,Win,-115,Loss,19NFL03
James O'Shaughnessy,Receiving Yards,TE,JAC,TEN,Home,20.5,18,-115,Loss,-115,Win,19NFL03
Jared Cook,Receiving Yards,TE,NO,SEA,Away,37.5,7,-110,Loss,-120,Win,19NFL03
Jason Witten,Receiving Yards,TE,DAL,MIA,Home,26.5,54,-110,Win,-120,Loss,19NFL03
Kyle Rudolph,Receiving Yards,TE,MIN,LVR,Home,25.5,11,-105,Loss,-125,Win,19NFL03
Mike Gesicki,Receiving Yards,TE,MIA,DAL,Away,19.5,9,-135,Loss,105,Win,19NFL03
Noah Fant,Receiving Yards,TE,DEN,GB,Away,25.5,37,-115,Win,-115,Loss,19NFL03
O.J. Howard,Receiving Yards,TE,TB,NYG,Home,43.5,66,-110,Win,-120,Loss,19NFL03
Ryan Griffin,Receiving Yards,TE,NYJ,NE,Away,14.5,5,-115,Loss,-115,Win,19NFL03
T.J. Hockenson,Receiving Yards,TE,DET,PHI,Away,39.5,1,-115,Loss,-115,Win,19NFL03
Travis Kelce,Receiving Yards,TE,KC,BAL,Home,85.5,89,-115,Win,-115,Loss,19NFL03
Tyler Eifert,Receiving Yards,TE,CIN,BUF,Away,24.5,18,-115,Loss,-115,Win,19NFL03
Vance McDonald,Receiving Yards,TE,PIT,SF,Away,45.5,10,-115,Loss,-115,Win,19NFL03
Vernon Davis,Receiving Yards,TE,WAS,CHI,Home,34.5,30,-115,Loss,-115,Win,19NFL03
Will Dissly,Receiving Yards,TE,SEA,NO,Home,30.5,62,-115,Win,-115,Loss,19NFL03
Zach Ertz,Receiving Yards,TE,PHI,DET,Home,70.5,64,-115,Loss,-115,Win,19NFL03
Austin Hooper,Receiving Yards,TE,ATL,PHI,Home,39.5,34,-115,Loss,-115,Win,19NFL02
Blake Jarwin,Receiving Yards,TE,DAL,WAS,Away,19.5,22,-115,Win,-115,Loss,19NFL02
C.J. Uzomah,Receiving Yards,TE,CIN,SF,Home,25.5,0,-115,Loss,-115,Win,19NFL02
Cameron Brate,Receiving Yards,TE,TB,CAR,Away,16.5,10,-115,Loss,-115,Win,19NFL02
Darren Waller,Receiving Yards,TE,LVR,KC,Home,49.5,63,-120,Win,-110,Loss,19NFL02
David Njoku,Receiving Yards,TE,CLE,NYJ,Away,40.5,0,-115,Loss,-115,Win,19NFL02
Delanie Walker,Receiving Yards,TE,TEN,IND,Home,45.5,39,-115,Loss,-115,Win,19NFL02
Eric Ebron,Receiving Yards,TE,IND,TEN,Away,29.5,25,-115,Loss,-115,Win,19NFL02
Evan Engram,Receiving Yards,TE,NYG,BUF,Home,70.5,48,-115,Loss,-115,Win,19NFL02
Geoff Swaim,Receiving Yards,TE,JAC,HOU,Away,20.5,14,-115,Loss,-115,Win,19NFL02
George Kittle,Receiving Yards,TE,SF,CIN,Away,79.5,54,-115,Loss,-115,Win,19NFL02
Irv Smith Jr.,Receiving Yards,TE,MIN,GB,Away,12.5,-1,105,Loss,-135,Win,19NFL02
Jack Doyle,Receiving Yards,TE,IND,TEN,Away,25.5,21,-115,Loss,-115,Win,19NFL02
James O'Shaughnessy,Receiving Yards,TE,JAC,HOU,Away,2.5,28,-115,Win,-115,Loss,19NFL02
Jared Cook,Receiving Yards,TE,NO,LAR,Away,43.5,25,-110,Loss,-120,Win,19NFL02
Jason Witten,Receiving Yards,TE,DAL,WAS,Away,24.5,25,-115,Win,-115,Loss,19NFL02
Jimmy Graham,Receiving Yards,TE,GB,MIN,Home,31.5,0,-120,Loss,-110,Win,19NFL02
Kyle Rudolph,Receiving Yards,TE,MIN,GB,Away,27.5,9,100,Loss,-130,Win,19NFL02
Mark Andrews,Receiving Yards,TE,BAL,ARI,Home,49.5,112,-115,Win,-115,Loss,19NFL02
Mike Gesicki,Receiving Yards,TE,MIA,NE,Home,25.5,11,-110,Loss,-120,Win,19NFL02
O.J. Howard,Receiving Yards,TE,TB,CAR,Away,51.5,0,-115,Loss,-115,Win,19NFL02
Ryan Griffin,Receiving Yards,TE,NYJ,CLE,Home,17.5,0,-130,Loss,100,Win,19NFL02
T.J. Hockenson,Receiving Yards,TE,DET,LAC,Home,41.5,7,-115,Loss,-115,Win,19NFL02
Travis Kelce,Receiving Yards,TE,KC,LVR,Away,80.5,107,-125,Win,-105,Loss,19NFL02
Tyler Eifert,Receiving Yards,TE,CIN,SF,Home,28.5,9,-120,Loss,-110,Win,19NFL02
Vance McDonald,Receiving Yards,TE,PIT,SEA,Home,44.5,38,-120,Loss,-110,Win,19NFL02
Vernon Davis,Receiving Yards,TE,WAS,DAL,Home,35.5,29,-115,Loss,-115,Win,19NFL02
Zach Ertz,Receiving Yards,TE,PHI,ATL,Away,59.5,72,-115,Win,-115,Loss,19NFL02
Austin Hooper,Receiving Yards,TE,ATL,MIN,Away,35.5,77,-115,Win,-115,Loss,19NFL01
C.J. Uzomah,Receiving Yards,TE,CIN,SEA,Away,25.5,66,-115,Win,-115,Loss,19NFL01
Dallas Goedert,Receiving Yards,TE,PHI,WAS,Home,20.5,16,-110,Loss,-120,Win,19NFL01
Darren Waller,Receiving Yards,TE,LVR,DEN,Home,29.5,70,-160,Win,130,Loss,19NFL01
David Njoku,Receiving Yards,TE,CLE,TEN,Home,38.5,37,-115,Loss,-115,Win,19NFL01
Delanie Walker,Receiving Yards,TE,TEN,CLE,Away,40.5,55,-115,Win,-115,Loss,19NFL01
Eric Ebron,Receiving Yards,TE,IND,LAC,Away,33.5,8,110,Loss,-140,Win,19NFL01
Evan Engram,Receiving Yards,TE,NYG,DAL,Away,57.5,116,-125,Win,-105,Loss,19NFL01
Geoff Swaim,Receiving Yards,TE,JAC,KC,Home,22.5,17,-115,Loss,-115,Win,19NFL01
George Kittle,Receiving Yards,TE,SF,TB,Away,78.5,54,-115,Loss,-115,Win,19NFL01
Gerald Everett,Receiving Yards,TE,LAR,CAR,Away,19.5,7,-115,Loss,-115,Win,19NFL01
Greg Olsen,Receiving Yards,TE,CAR,LAR,Home,34.5,36,-115,Win,-115,Loss,19NFL01
Jared Cook,Receiving Yards,TE,NO,HOU,Home,45.5,37,-135,Loss,105,Win,19NFL01
Jimmy Graham,Receiving Yards,TE,GB,CHI,Away,29.5,30,-120,Win,-110,Loss,19NFL01
